,Proportion of non-white character mentions,Proportion of non-white character dialogue,Burstiness of most frequent character,Min burstiness non-white character,Min burstiness white character,Dataset,Author race,Most frequent character race,Most frequent character gender,Most frequent character POV,Hollyhock recurrence,AP recurrence,Different main character race in book,Book
107,0.0,0.0,0.3739423553164298,inf,0.3739423553164298,AP Only,White,White*,M,First person,0,3,False,prayer for owen meany - irving
108,0.0,0.0,0.33768759547539834,inf,0.33768759547539834,AP Only,White,White*,M,First person,0,1,False,power of one - courtenay
109,0.0,0.0,0.5488574220305006,inf,0.5488574220305006,Teachers Only,White,White*,M,Third person,1,0,False,power broker - caro
110,0.0,0.0,0.5893296815145677,inf,0.5893296815145677,AP Only,White,White*,M,First person,0,11,False,portrait of the artist as a young man - joyce
111,0.0,0.0,0.6439557472235534,inf,0.6439557472235534,AP Only,White,White*,F,Third person,0,9,False,portrait of a lady - james
112,0.07953004970628107,0.17070484581497797,0.5882000558105496,0.6866085947521974,0.4842561858243633,AP Only,White,White*,F,First person,0,5,True,poisonwood bible - kingsolver
113,1.0,1.0,0.6552294938367903,0.6552294938367903,inf,AP Only,Non-white,Latinx,M,Third person,0,2,False,pocho - villarreal
114,0.35851086722616743,0.3345029239766082,0.585540099265312,0.585540099265312,0.43820465416885074,AP Only,White,MENA,M,Third person,0,3,True,plague - camus
115,0.0,0.0,0.5340621159036474,inf,0.5340621159036474,Both,White,White*,M,Third person,2,3,False,picture of dorian gray - wilde
116,0.0,0.0,0.4162735030194504,inf,0.4162735030194504,AP Only,White,White*,F,Third person,0,2,False,persuasion - austen
117,0.0,0.0,0.20817368995458166,inf,0.20817368995458166,Teachers Only,White,White*,M,First person,2,0,False,perks of being a wallflower - chbosky
118,0.9227333631085306,0.8712871287128713,0.27698251909609184,0.27698251909609184,0.6264935895929928,Teachers Only,White,Multiracial†,M,Third person,2,0,True,pearl - steinbeck
119,1.0,1.0,0.1834086766910989,0.1834086766910989,inf,Teachers Only,Non-white,AAPI,M,First person,1,0,False,patron saints of nothing - ribay
120,1.0,1.0,0.43752065675822865,0.43752065675822865,inf,Both,Non-white,Black,F,Third person,1,2,False,passing - larsen
121,0.3295410721172387,0.3238578680203046,0.5988861721595621,0.5988861721595621,0.5832941119446683,AP Only,White,AAPI,M,Third person,0,4,True,passage to india - forster
122,0.9014942695488176,0.891912320483749,0.27255386746944466,0.27255386746944466,0.741341009415936,Teachers Only,Non-white,Black,F,First person,1,0,True,parable of the sower - butler
123,0.08401175938489372,0.14285714285714285,0.16646900439633885,0.6667086584264464,0.16646900439633885,Teachers Only,White,White*,M,First person,1,0,True,paper towns - green
124,1.0,1.0,0.38724137690170557,0.38724137690170557,inf,Teachers Only,Non-white,Multiracial†,M,First person,1,0,False,panther baby - joseph
125,0.0,0.0,0.5317981802059852,inf,0.5282374138190505,AP Only,White,White*,M,First person,0,1,False,pale fire - nabokov
126,0.0,0.0,0.23253032757698416,inf,0.23253032757698416,Teachers Only,White,White*,M,First person,6,0,False,outsiders - hinton
127,0.15699572971615172,0.24043715846994534,0.33920005395450037,0.8502573743235661,0.33920005395450037,AP Only,White,White*,F,First person,0,1,True,out of africa - dinesen
128,1.0,1.0,0.4390214750928814,0.4390214750928814,inf,Teachers Only,Non-white,Black,M,First person,5,0,False,other wes moore - moore
129,0.0,0.0,0.5128117500788926,inf,0.5128117500788926,AP Only,White,White*,M,First person,0,1,False,other - guterson
130,0.11559705418200947,0.11084142394822007,0.46885565233124116,0.7457532943751938,0.46885565233124116,AP Only,White,White*,M,Third person,0,4,True,oryx and crake - atwood
131,0.0,0.0,0.38441195992610944,inf,0.38441195992610944,AP Only,White,White*,M,Third person,0,2,False,orlando - woolf
132,0.0,0.0,0.402587231536101,inf,0.402587231536101,Teachers Only,White,White*,F,First person,1,0,False,oranges are not the only fruit - winterson
133,1.0,1.0,0.5225326291931969,0.5225326291931969,inf,AP Only,Non-white,Latinx,F,Third person,0,2,False,one hundred years of solitude - marquez
134,0.3198452841416245,0.08654970760233918,0.6236283952800191,0.4802915461490835,0.5967671036128918,AP Only,White,White*,M,Third person,0,3,True,one flew over the cuckoo s nest - kesey
135,0.0,0.0,0.4255294500600998,inf,0.4255294500600998,AP Only,White,White*,M,Third person,0,2,False,one day in the life of ivan denisovich - solzhenitsyn
136,0.0,0.0,0.8013972711130802,inf,0.7485161282996706,AP Only,White,White*,M,Third person,0,2,False,oliver twist - dickens
